Word,Frequency,Rank
the,442,1
of,366,2
and,217,3
to,186,4
we,163,5
in,142,6
a,141,7
that,114,8
our,112,9
it,80,10
is,78,11
have,71,12
for,51,13
be,50,14
not,48,15
this,47,16
which,45,17
by,45,17
as,44,19
are,42,20
will,41,21
i,40,22
but,38,23
all,38,23
with,34,25
has,33,26
people,33,26
nation,32,28
us,32,28
they,30,30
on,28,31
their,28,31
government,26,33
can,25,34
from,24,35
no,23,36
men,23,36
must,23,36
who,22,39
its,22,39
an,22,39
shall,22,39
life,22,39
democracy,20,44
been,19,45
know,18,46
spirit,18,46
if,18,46
because,17,49
so,17,49
there,17,49
more,15,52
great,15,52
world,15,52
good,14,55
these,14,55
at,14,55
power,14,55
upon,14,55
new,14,55
national,14,55
every,14,55
peace,13,63
those,13,63
other,13,63
years,12,66
may,12,66
through,12,66
only,12,66
my,12,66
such,12,66
was,11,72
do,11,72
or,11,72
way,11,72
s,11,72
things,11,72
states,11,72
today,11,72
old,11,72
out,11,72
ourselves,11,72
see,10,83
under,10,83
united,10,83
republic,10,83
into,10,83
problems,10,83
one,10,83
progress,10,83
were,9,91
time,9,91
them,9,91
work,9,91
america,9,91
before,9,91
action,9,91
days,9,91
now,9,91
first,9,91
human,9,91
purpose,9,91
without,9,91
most,8,104
when,8,104
still,8,104
leadership,8,104
day,8,104
would,8,104
own,8,104
helped,8,104
face,8,104
many,8,104
well,8,104
nations,8,104
self,8,104
yet,7,117
millions,7,117
itself,7,117
task,7,117
should,7,117
ever,7,117
moral,7,117
faith,7,117
within,7,117
here,7,117
live,7,117
me,7,117
future,7,117
fear,7,117
land,7,117
freedom,7,117
truth,6,133
need,6,133
better,6,133
continent,6,133
understanding,6,133
come,6,133
conditions,6,133
duty,6,133
body,6,133
never,6,133
made,6,133
free,6,133
among,6,133
american,6,133
courage,6,133
country,6,133
individual,6,133
essential,6,133
each,6,133
mind,6,133
common,6,133
make,6,133
than,6,133
civilization,6,133
true,6,133
then,6,133
find,6,133
strong,6,133
toward,6,133
had,6,133
wealth,6,133
public,6,133
economic,6,133
practical,6,133
profit,5,167
instrument,5,167
speaks,5,167
sacred,5,167
present,5,167
god,5,167
achieve,5,167
measures,5,167
alone,5,167
success,5,167
did,5,167
together,5,167
much,5,167
being,5,167
go,5,167
he,5,167
high,5,167
constitution,5,167
women,5,167
fact,5,167
learned,5,167
end,5,167
democratic,5,167
relations,5,167
vision,5,167
war,5,167
children,5,167
cause,5,167
political,5,167
his,5,167
hand,5,167
confidence,5,167
use,5,167
fellow,5,167
you,5,167
what,5,167
cannot,5,167
take,5,167
given,5,167
order,5,167
important,5,167
americans,5,167
very,5,167
always,5,167
money,5,167
citizens,4,212
faced,4,212
become,4,212
tasks,4,212
congress,4,212
meet,4,212
vast,4,212
far,4,212
found,4,212
solve,4,212
hope,4,212
larger,4,212
fail,4,212
could,4,212
lies,4,212
material,4,212
part,4,212
mere,4,212
four,4,212
road,4,212
effort,4,212
industrial,4,212
continue,4,212
respects,4,212
little,4,212
discipline,4,212
am,4,212
test,4,212
difficult,4,212
ago,4,212
destiny,4,212
change,4,212
perils,4,212
demand,4,212
words,4,212
forward,4,212
against,4,212
neighbor,4,212
merely,4,212
enduring,4,212
measure,4,212
something,4,212
century,4,212
welfare,4,212
emergency,4,212
like,4,212
powers,4,212
values,4,212
lives,4,212
simple,4,212
constitutional,4,212
form,4,212
efforts,4,212
president,4,212
forms,4,212
over,4,212
means,4,212
justice,4,212
though,4,212
wish,4,212
affairs,3,272
social,3,272
call,3,272
master,3,272
came,3,272
ill,3,272
above,3,272
create,3,272
away,3,272
existence,3,272
ideal,3,272
feeling,3,272
rights,3,272
also,3,272
give,3,272
ask,3,272
security,3,272
evil,3,272
happiness,3,272
failure,3,272
centuries,3,272
set,3,272
moment,3,272
same,3,272
support,3,272
small,3,272
experiment,3,272
undertaken,3,272
hearts,3,272
