home,Score
Abahani Limited,172
Abbottabad Falcons,137
Abbottabad Region,186
Abbottabad Rhinos,165
Adelaide Strikers,168
Afghanistan,143
Andhra,131
Antigua,146
Antigua and Barbuda,153
Assam,139
Auckland,162
Australia,154
Australia A,174
Azad Jammu & Kashmir Region,123
Badureliya Sports Club,151
Bahawalpur Region,154
Bahawalpur Stags,149
Baluchistan,217
Bangladesh,145
Bangladesh A,166
Barbados,122
Barbados Tridents,135
Barisal Bulls,157
Barisal Burners,158
Baroda,148
Basnahira,136
Basnahira Cricket Dundee,129
Basnahira Greens,139
Basnahira North,123
Basnahira South,133
Bengal,145
Bermuda,149
Bloomfield Cricket and Athletic Club,131
Boland,147
Border,135
Brisbane Heat,178
Burgher Recreation Club,132
Canada,130
Canterbury,163
Cape Cobras,153
Central Districts,164
Centrals,119
Chennai Super Kings,164
Chilaw Marians Cricket Club,145
Chittagong Kings,159
Chittagong Vikings,162
Colombo Cricket Club,161
Colts Cricket Club,154
Combined Campuses and Colleges,134
Comilla Victorians,142
Deccan Chargers,148
Delhi,146
Delhi Daredevils,158
Derbyshire,159
Dhaka Division,132
Dhaka Dynamites,136
Dhaka Gladiators,163
Dhaka Metropolis,168
Dolphins,152
Durham,153
Duronto Rajshahi,157
Eagles,147
Eastern Province,133
Easterns,166
Easterns (Zimbabwe),144
England,157
England Lions,153
Essex,167
Faisalabad Wolves,148
Federally Administered Tribal Areas,139
Free State,153
Galle Cricket Club,109
Gauteng,131
Glamorgan,149
Gloucestershire,161
Goa,154
Griqualand West,139
Gujarat,153
Guyana,137
Guyana Amazon Warriors,156
Habib Bank Limited,135
Hambantota Troopers,132
Hampshire,155
Haryana,138
Himachal Pradesh,138
Hobart Hurricanes,173
Hong Kong,139
Hyderabad (India),164
Hyderabad Hawks,159
India,153
India A,214
Ireland,127
Islamabad,151
Islamabad Leopards,135
Islamabad United,151
Italy,129
Jamaica,116
Jamaica Tallawahs,156
Jharkhand,136
Kandurata,152
Kandurata Maroons,127
Kandurata Warriors,155
Karachi Blues,169
Karachi Kings,154
Karachi Region Blues,184
Karachi Whites,161
Karachi Zebras,154
Karnataka,137
Kent,156
Kenya,146
Kerala,144
Khan Research Laboratories,130
Khan Research Labs,132
Khulna Royal Bengals,158
Khulna Titans,133
Kings XI Punjab,167
Knights,159
Kochi Tuskers Kerala,136
Kolkata Knight Riders,152
Kurunegala Warriors,143
Kurunegala Youth Cricket Club,148
KwaZulu-Natal,134
KwaZulu-Natal Inland,133
Lahore Eagles,166
Lahore Lions,154
Lahore Qalandars,179
Lahore Whites,162
Lancashire,146
Leicestershire,155
Lions,153
Madhya Pradesh,145
Maharashtra,141
Mashonaland Eagles,155
Matabeleland Tuskers,139
Melbourne Renegades,155
Melbourne Stars,156
